统计: {"total": 860, "too_long": 435, "too_short_dur": 4, "too_long_dur": 0, "multi_line": 0}

[minor] P05_life_fork_deep: 单行19字 > 18: '传奇还在感慨感慨18年的时候为什么不做'
[minor] P05_life_fork_deep: 单行20字 > 18: '18年如果做在那个时间点分岔如果如果没有'
[minor] P05_life_fork_deep: 单行20字 > 18: '不是你自己吗我告诉传奇18年如果你做这个'
[major] P06_uncertainty_deep: 显示时长1.0s < 1.0s: 'm 24 0 l 1091 0 b 11'
[major] P06_uncertainty_deep: 显示时长1.0s < 1.0s: '我执的概念其实我觉得还是还是去'
[minor] H04_fate_crossroad: 单行19字 > 18: '传奇还在感慨感慨18年的时候为什么不做'
[minor] H04_fate_crossroad: 单行20字 > 18: '18年如果做在那个时间点分岔如果如果没有'
[major] H06_invisible_forks: 显示时长1.0s < 1.0s: 'm 24 0 l 1091 0 b 11'
[major] H06_invisible_forks: 显示时长1.0s < 1.0s: '我执的概念其实我觉得还是还是去'
[veto] H05_simultaneous_possibilities: 未勘误 '分岔的花园' 应为 '分擦的花园': '就是小径分岔的花园那到底它的重心'
[veto] H05_simultaneous_possibilities: 未勘误 '分岔' 应为 '分擦': '就是小径分岔的花园那到底它的重心'
[veto] H05_simultaneous_possibilities: 未勘误 '' 应为 'MP4': '就是小径分岔的花园那到底它的重心'
[veto] H05_simultaneous_possibilities: 未勘误 '分岔' 应为 '分擦': '应该是在花园还是小庆还是分岔'
[veto] H05_simultaneous_possibilities: 未勘误 '' 应为 'MP4': '应该是在花园还是小庆还是分岔'
[veto] H06_invisible_forks: 未勘误 '我执' 应为 '我职': '我执的概念其实我觉得还是还是去'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '我执的概念其实我觉得还是还是去'
[veto] H06_invisible_forks: 未勘误 '我执' 应为 '我职': '去感受一下什么教我执其实从可能性的'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '去感受一下什么教我执其实从可能性的'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '这个角度我每个话题开始之前'
[veto] H06_invisible_forks: 未勘误 '我执' 应为 '我职': '从可能性的角度来看呢我执'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '从可能性的角度来看呢我执'
[veto] H06_invisible_forks: 未勘误 '我执' 应为 '我职': '我执到底是什么'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '我执到底是什么'
[veto] H06_invisible_forks: 未勘误 '分岔的花园' 应为 '分擦的花园': '如果从分岔的花园的这个理论来看'
[veto] H06_invisible_forks: 未勘误 '分岔' 应为 '分擦': '如果从分岔的花园的这个理论来看'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '如果从分岔的花园的这个理论来看'
[veto] H06_invisible_forks: 未勘误 '分岔' 应为 '分擦': '什么是我执他认为没有分岔吗'
[veto] H06_invisible_forks: 未勘误 '我执' 应为 '我职': '什么是我执他认为没有分岔吗'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '什么是我执他认为没有分岔吗'
[veto] H06_invisible_forks: 未勘误 '分岔' 应为 '分擦': '这是一种我执还是说他看得到分岔但是'
[veto] H06_invisible_forks: 未勘误 '我执' 应为 '我职': '这是一种我执还是说他看得到分岔但是'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '这是一种我执还是说他看得到分岔但是'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '他就质疑了一定要去选左边或是右边'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '我昨天晚上刚结束一个演出结束之后'
[veto] H06_invisible_forks: 未勘误 '' 应为 'MP4': '我跟我的演员就在跟他聊有一段戏的'
